id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0001,3500032187933935519,3,inverse_hourglass,late,0.05,66,197,66-197-66,1-3,236817,model_onnx/0001.onnx,949444,2026-09-08T11:09:29.279643+00:00
0002,3901740079088173568,2,decreasing,late,0.1,26,129,129-26,1,34094,model_onnx/0002.onnx,137923,2026-09-08T11:09:29.305916+00:00
0003,7692827230975233695,3,increasing,late,0.0,12,232,12-67-232,1-2,150097,model_onnx/0003.onnx,602562,2026-09-08T11:09:29.336573+00:00
0004,5081711523301567296,2,decreasing,early,0.1,85,240,240-85,1,191265,model_onnx/0004.onnx,766611,2026-09-08T11:09:29.359951+00:00
0005,2183415997578741299,4,hourglass,late,0.05,78,160,160-78-78-160,,285802,model_onnx/0005.onnx,1145362,2026-09-08T11:09:29.399113+00:00
0006,6281354223301801748,4,increasing,early,0.0,55,223,55-152-192-223,1-3-4,727587,model_onnx/0006.onnx,2913164,2026-09-08T11:09:29.444857+00:00
0007,5493819418267151277,3,decreasing,late,0.05,18,121,121-45-18,2,59936,model_onnx/0007.onnx,241697,2026-09-08T11:09:29.474232+00:00
0008,8751387229882246425,6,increasing,linear,0.1,55,239,55-101-125-153-220-239,1-2-4,1116683,model_onnx/0008.onnx,4470386,2026-09-08T11:09:29.539343+00:00
0009,7569685535925842083,6,hourglass,early,0.05,18,206,206-164-18-18-163-206,1-2-3-4-5,670555,model_onnx/0009.onnx,2686315,2026-09-08T11:09:29.601174+00:00
0010,3808768216966519876,2,increasing,linear,0.05,51,245,51-245,1,116588,model_onnx/0010.onnx,467901,2026-09-08T11:09:29.628004+00:00
0011,2230372558596046473,6,uniform,linear,0.1,21,21,21-21-21-21-21-21,1-2-5,20758,model_onnx/0011.onnx,86654,2026-09-08T11:09:29.674894+00:00
0012,3795004155236216458,4,decreasing,early,0.0,77,101,101-97-91-77,,234552,model_onnx/0012.onnx,940354,2026-09-08T11:09:29.715210+00:00
0013,453074733703125741,4,uniform,early,0.05,71,71,71-71-71-71,1-2-4,139028,model_onnx/0013.onnx,558918,2026-09-08T11:09:29.754048+00:00
0014,8206404346745342501,2,uniform,late,0.05,40,40,40-40,1,15970,model_onnx/0014.onnx,65426,2026-09-08T11:09:29.772135+00:00
0015,677329769445312496,5,increasing,early,0.0,37,135,37-86-106-122-135,2-3-4-5,378145,model_onnx/0015.onnx,1516029,2026-09-08T11:09:29.812159+00:00
0016,2510983324248305800,3,decreasing,late,0.0,82,167,167-103-82,2-3,236514,model_onnx/0016.onnx,948234,2026-09-08T11:09:29.848743+00:00
0017,6083782247615936851,5,increasing,early,0.05,83,250,83-166-209-223-250,1-2-3-4-5,1363143,model_onnx/0017.onnx,5456252,2026-09-08T11:09:29.923402+00:00
0018,4458547803005562908,3,inverse_hourglass,early,0.05,21,250,21-250-21,,95579,model_onnx/0018.onnx,384052,2026-09-08T11:09:29.947763+00:00
0019,3883195622047445087,2,decreasing,late,0.0,40,181,181-40,2,70678,model_onnx/0019.onnx,284263,2026-09-08T11:09:29.968241+00:00
0020,581871315872235401,4,uniform,early,0.1,42,42,42-42-42-42,4,49360,model_onnx/0020.onnx,199804,2026-09-08T11:09:30.001222+00:00
0021,347377383972682499,5,increasing,late,0.0,56,208,56-66-94-142-208,1-2-3,479224,model_onnx/0021.onnx,1920127,2026-09-08T11:09:30.041536+00:00
0022,6786324878544198774,2,increasing,late,0.0,64,150,64-150,1,89852,model_onnx/0022.onnx,360957,2026-09-08T11:09:30.062079+00:00
0023,3227420719211642672,6,hourglass,early,0.1,20,83,83-68-20-20-63-83,2-4-5-6,128455,model_onnx/0023.onnx,517679,2026-09-08T11:09:30.113013+00:00
