feature,energy_importance,latency_importance,accuracy_importance
categorical__feature_growth_pattern_early,0.0018762294,0.0010912626,0.0
categorical__feature_growth_pattern_late,0.0011609453,0.00048329364,0.0027243192
categorical__feature_growth_pattern_linear,0.002589244,0.0015456799,0.0
categorical__feature_pattern_decreasing,0.0,0.00030589732,0.0
categorical__feature_pattern_hourglass,0.0017359025,0.0010563334,0.0
categorical__feature_pattern_increasing,0.0,0.0020340157,0.11606685
categorical__feature_pattern_inverse_hourglass,8.2961626e-05,0.00057382666,0.0
categorical__feature_pattern_uniform,0.0026376925,0.0,0.0
numeric__feature_activation_elements,0.058580928,0.05508693,0.009139832
numeric__feature_channel_1,0.0047397534,0.002512629,0.040546007
numeric__feature_channel_2,0.0028279994,0.001061778,0.027270358
numeric__feature_channel_3,0.0033034987,0.0015296568,0.015803933
numeric__feature_channel_4,0.004187949,0.0012457861,0.022615027
numeric__feature_channel_5,0.0033651793,0.0012138368,0.0034407312
numeric__feature_channel_6,0.005738536,0.0012036595,0.0019916042
numeric__feature_channel_first,0.0024397024,0.0026882135,0.0014023135
numeric__feature_channel_last,0.0024944448,0.0012398951,0.002555436
numeric__feature_channel_last_first_ratio,0.0021277366,0.0011803726,0.021486513
numeric__feature_channel_max,0.0040542553,0.0018233691,0.005012746
numeric__feature_channel_mean,0.005957573,0.00099743,0.00917357
numeric__feature_channel_min,0.0028131364,0.00081636367,0.017312732
numeric__feature_channel_range,0.0036265806,0.0013598083,0.0030870293
numeric__feature_channel_std,0.0027093976,0.0011157172,0.010538734
numeric__feature_channel_sum,0.007176425,0.0058557284,0.236939
numeric__feature_conv_flops,0.46748972,0.33088157,0.028478593
numeric__feature_conv_macs,0.3707873,0.56027174,0.0064180987
numeric__feature_depth,0.00220038,0.002022368,0.05170575
numeric__feature_final_feature_map_height,0.00247054,0.0016553706,0.055775523
numeric__feature_final_feature_map_width,0.0,0.0,0.0026033663
numeric__feature_grad_norm_score,0.0043247608,0.0015017844,0.021373665
numeric__feature_jacob_cov_score,0.0016547964,0.0012564794,0.043054204
numeric__feature_parameter_count,0.006759132,0.0025892453,0.18831354
numeric__feature_pool_after_1,0.006521045,0.0059622005,0.0046295775
numeric__feature_pool_after_2,0.0028060032,0.0016740905,0.0
numeric__feature_pool_after_3,0.0027147932,0.0007427601,0.0
numeric__feature_pool_after_4,0.0024346232,0.0005808484,0.0063521178
numeric__feature_pool_after_5,0.0011885492,0.00078398205,0.0
numeric__feature_pool_after_6,0.0,0.0008091265,0.0
numeric__feature_pool_count,0.001455189,0.0006384998,0.026281705
numeric__feature_synflow_score,0.0009670672,0.0006084134,0.017907081
