id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc,synflow_score,grad_norm_score,jacob_cov_score
22,6786324878544198774,2,increasing,late,0.0,64,150,64-150,1,89852,model_onnx/0022.onnx,360957,2026-09-08T11:09:30.062079+00:00,5615.691916316748,1.2755168894012157,18.42068099975586
23,3227420719211642672,6,hourglass,early,0.1,20,83,83-68-20-20-63-83,2-4-5-6,128455,model_onnx/0023.onnx,517679,2026-09-08T11:09:30.113013+00:00,75072056.6353693,0.39179611298341166,18.42068099975586
32,2138378658593451166,6,inverse_hourglass,early,0.1,85,124,85-120-124-124-104-85,2-4,563525,model_onnx/0032.onnx,2257524,2026-09-08T11:09:30.443744+00:00,594503139.4506327,0.28510545412390725,18.42068099975586
38,5193306621158855030,4,increasing,late,0.0,29,177,29-45-95-177,1,204464,model_onnx/0038.onnx,820222,2026-09-08T11:09:30.714269+00:00,864007.4312547743,0.3546919088783617,18.42068099975586
54,6689576246580821505,6,increasing,linear,0.1,66,221,66-102-133-161-192-221,1,1040372,model_onnx/0054.onnx,4164699,2026-09-08T11:09:31.362254+00:00,1329917432.6315427,0.30502134007029685,18.42068099975586
57,5506572091110198596,6,decreasing,late,0.0,74,166,166-133-107-89-78-74,2-3,532793,model_onnx/0057.onnx,2134604,2026-09-08T11:09:31.500963+00:00,499392459.15496814,0.25202706444185713,18.42068099975586
61,4154080990474572052,4,increasing,late,0.05,94,209,94-112-148-209,1-2-3-4,527525,model_onnx/0061.onnx,2113134,2026-09-08T11:09:31.659482+00:00,4059117.515449822,0.7822322306294969,18.42068099975586
77,8403490908903309423,5,uniform,linear,0.0,83,83,83-83-83-83-83,1-3-4-5,251500,model_onnx/0077.onnx,1009446,2026-09-08T11:09:32.310104+00:00,26511357.82182324,0.4823458447273962,18.42068099975586
81,9214316316864823098,3,increasing,late,0.05,59,159,59-86-159,,172229,model_onnx/0081.onnx,690656,2026-09-08T11:09:32.451040+00:00,103351.05720883608,0.36080731518930703,18.42068099975586
88,5522071537114309014,6,decreasing,linear,0.1,33,248,248-214-154-119-81-33,3-5,1057879,model_onnx/0088.onnx,4234947,2026-09-08T11:09:32.770826+00:00,961909062.2078086,0.19866989549565636,18.42068099975586
94,1341991664185510061,5,hourglass,linear,0.0,21,89,89-55-21-55-89,1-3-5,112512,model_onnx/0094.onnx,453271,2026-09-08T11:09:33.017600+00:00,8320752.2055981755,0.38174016624413765,18.42068099975586
113,2204719407037680615,6,increasing,late,0.0,30,83,30-32-38-49-64-83,1-3-5,114320,model_onnx/0113.onnx,460923,2026-09-08T11:09:33.904179+00:00,44164194.34613457,0.34877274620416354,18.42068099975586
120,2450932048946963560,4,uniform,linear,0.0,38,38,38-38-38-38,1-2-4,40556,model_onnx/0120.onnx,165030,2026-09-08T11:09:34.223061+00:00,290665.2992322445,0.4480647912278083,18.42068099975586
125,3816516542109905248,6,inverse_hourglass,early,0.05,46,224,46-165-224-224-163-46,5,1251204,model_onnx/0125.onnx,5008027,2026-09-08T11:09:34.509431+00:00,1089868873.1525595,0.26443990147442303,18.42068099975586
127,6442497889882592968,6,inverse_hourglass,early,0.1,19,240,19-162-240-240-174-19,1-2-3-5,1303183,model_onnx/0127.onnx,5216606,2026-09-08T11:09:34.625772+00:00,200313292.91749656,0.28146803802372095,18.42068099975586
133,1199462858865090077,6,hourglass,early,0.05,53,135,135-115-53-53-121-135,3-5-6,430210,model_onnx/0133.onnx,1724486,2026-09-08T11:09:34.862282+00:00,573495644.3231943,0.28986266345396194,18.42068099975586
149,7709370079779957983,3,inverse_hourglass,early,0.1,64,140,64-140-64,1-2-3,163926,model_onnx/0149.onnx,658098,2026-09-08T11:09:35.603893+00:00,91034.67511826754,1.3980853920938523,18.42068099975586
158,5499586432657722140,3,uniform,linear,0.05,83,83,83-83-83,2-3,127332,model_onnx/0158.onnx,511501,2026-09-08T11:09:35.949843+00:00,90819.89731061459,1.1548504767210537,18.42068099975586
176,4078802847151167650,6,uniform,linear,0.1,25,25,25-25-25-25-25-25,3-4-6,29210,model_onnx/0176.onnx,120472,2026-09-08T11:09:36.755456+00:00,9234180.172393799,0.19089890117356342,18.42068099975586
183,6041984801109206791,6,decreasing,linear,0.0,87,222,222-195-168-141-114-87,,1139371,model_onnx/0183.onnx,4560476,2026-09-08T11:09:37.129992+00:00,1927288580.2900076,0.2424875775777575,18.42068099975586
193,2876965514137450472,6,inverse_hourglass,late,0.1,41,118,41-56-118-118-54-41,1-3-4-6,284681,model_onnx/0193.onnx,1142589,2026-09-08T11:09:37.573089+00:00,150218705.359796,0.27105561021732416,18.42068099975586
194,7478617474960440624,5,decreasing,early,0.1,74,246,246-219-200-145-74,1-2-3-5,1244912,model_onnx/0194.onnx,4983109,2026-09-08T11:09:37.647598+00:00,114981633.44712114,0.4097103936611713,18.42068099975586
198,4281966434013495157,5,inverse_hourglass,late,0.0,24,128,24-50-128-50-24,3-4,137974,model_onnx/0198.onnx,554899,2026-09-08T11:09:37.770626+00:00,4744753.951386631,0.2924593327556391,18.42068099975586
200,3835542138127787494,6,uniform,early,0.1,70,70,70-70-70-70-70-70,4,223520,model_onnx/0200.onnx,897278,2026-09-08T11:09:37.850264+00:00,206067200.70061094,0.39651945240612924,18.42068099975586
223,8079884140413000553,6,hourglass,early,0.1,76,252,252-223-76-76-233-252,,1408542,model_onnx/0223.onnx,5637162,2026-09-08T11:09:38.768492+00:00,2633210916.0236588,0.23210440792818848,18.42068099975586
258,2770658023330200856,5,increasing,late,0.05,88,157,88-89-106-132-157,2,472366,model_onnx/0258.onnx,1892249,2026-09-08T11:09:40.296189+00:00,42942532.45882821,0.2658029907410226,18.42068099975586
277,2295179022765017891,4,decreasing,late,0.1,41,150,150-87-52-41,3,182154,model_onnx/0277.onnx,730983,2026-09-08T11:09:40.975953+00:00,1081555.154743731,0.2804644041460401,18.42068099975586
281,6590513463448900582,4,hourglass,late,0.0,85,103,103-85-85-103,,226812,model_onnx/0281.onnx,909394,2026-09-08T11:09:41.122255+00:00,1795619.8926391006,0.31500459886664284,18.42068099975586
287,1946148182667073684,5,uniform,linear,0.05,71,71,71-71-71-71-71,1-2-3-4-5,184468,model_onnx/0287.onnx,741539,2026-09-08T11:09:41.339856+00:00,7480863.004921675,0.3600781555998625,18.42068099975586
298,3455910411636713508,4,inverse_hourglass,early,0.1,64,199,64-199-199-64,,588561,model_onnx/0298.onnx,2356397,2026-09-08T11:09:41.778052+00:00,2767604.887416601,0.1528025982162479,18.42068099975586
304,7792132736078773354,4,decreasing,linear,0.1,28,208,208-160-87-28,1,453113,model_onnx/0304.onnx,1814823,2026-09-08T11:09:41.972296+00:00,1705059.3205626905,0.36693883940856203,18.42068099975586
312,2643570985110774579,6,decreasing,late,0.05,41,118,118-94-66-53-42-41,,226698,model_onnx/0312.onnx,909769,2026-09-08T11:09:42.367348+00:00,163846415.18202174,0.25536541051692513,18.42068099975586
320,6694217668768780210,5,hourglass,linear,0.05,68,226,226-140-68-143-226,4,757993,model_onnx/0320.onnx,3034766,2026-09-08T11:09:42.656145+00:00,93714684.64331353,0.20045080707413657,18.42068099975586
325,8993199257345761530,4,decreasing,linear,0.1,95,246,246-198-141-95,1-2-3-4,818471,model_onnx/0325.onnx,3276923,2026-09-08T11:09:42.880726+00:00,6111730.3701248765,1.2733041298059422,18.42068099975586
330,8407823811588257580,6,hourglass,linear,0.0,92,220,220-169-92-92-169-220,1,1034392,model_onnx/0330.onnx,4140781,2026-09-08T11:09:43.107474+00:00,1879135299.3764248,0.20141394392658452,18.42068099975586
348,3554358216165916204,2,uniform,linear,0.05,79,79,79-79,,59260,model_onnx/0348.onnx,238368,2026-09-08T11:09:43.804717+00:00,4549.201508760452,0.37633709899918083,18.42068099975586
364,4309777958421505400,6,increasing,early,0.1,93,252,93-161-190-212-249-252,2-5-6,1818609,model_onnx/0364.onnx,7278094,2026-09-08T11:09:44.612778+00:00,4042364937.225052,0.30197929127426276,18.42068099975586
380,196037435524592078,2,decreasing,early,0.0,38,228,228-38,2,84788,model_onnx/0380.onnx,340703,2026-09-08T11:09:45.194686+00:00,5659.627323836088,0.703459627524789,18.42068099975586
389,4907798606729433036,5,increasing,early,0.0,61,229,61-145-180-206-229,1-2-3-4,1077559,model_onnx/0389.onnx,4313695,2026-09-08T11:09:45.602996+00:00,48916697.86852351,0.38243331625219035,18.42068099975586
396,7443052310430820053,4,inverse_hourglass,late,0.1,86,88,86-88-88-86,1-2-4,209460,model_onnx/0396.onnx,840646,2026-09-08T11:09:45.923115+00:00,1523872.5221809745,0.5657873492520629,18.42068099975586
410,2939965593092330684,6,inverse_hourglass,linear,0.0,48,216,48-115-216-216-115-48,1,968928,model_onnx/0410.onnx,3878917,2026-09-08T11:09:46.472901+00:00,648285635.238547,0.32922290732945725,18.42068099975586
414,477529332724645328,6,uniform,late,0.0,56,56,56-56-56-56-56-56,4,143538,model_onnx/0414.onnx,577350,2026-09-08T11:09:46.613264+00:00,100180702.54070228,0.26094184695195805,18.42068099975586
418,4887867660148940505,3,hourglass,early,0.05,96,161,161-96-161,,284593,model_onnx/0418.onnx,1140117,2026-09-08T11:09:46.782480+00:00,172484.82943230867,0.5577236605857844,18.42068099975586
422,3395135157706323767,3,hourglass,linear,0.1,54,81,81-54-81,1,81955,model_onnx/0422.onnx,329775,2026-09-08T11:09:47.006318+00:00,61792.05636847019,0.7235996002932114,18.42068099975586
447,3120106694787379509,3,decreasing,late,0.05,45,175,175-77-45,3,157942,model_onnx/0447.onnx,633728,2026-09-08T11:09:48.001298+00:00,90264.69555479288,0.47076414159816277,18.42068099975586
450,6471548956454382513,6,increasing,late,0.05,48,251,48-55-77-124-185-251,1-3-4-5-6,776738,model_onnx/0450.onnx,3111045,2026-09-08T11:09:48.120612+00:00,341603390.882285,0.3695637426664087,18.42068099975586
452,5082135254286080045,4,uniform,late,0.0,64,64,64-64-64-64,1-2-3-4,113226,model_onnx/0452.onnx,455931,2026-09-08T11:09:48.224294+00:00,947752.8745197058,0.6457921202476158,18.42068099975586
473,7540089307719533033,2,uniform,linear,0.0,45,45,45-45,1-2,19990,model_onnx/0473.onnx,81724,2026-09-08T11:09:49.019429+00:00,2759.047143280506,1.0456691209921285,18.42068099975586
481,7557288287400506712,5,inverse_hourglass,late,0.0,77,156,77-97-156-97-77,1-2-3-4,410181,model_onnx/0481.onnx,1644173,2026-09-08T11:09:49.499377+00:00,17783057.19422406,0.3458405666949336,18.42068099975586
498,6829380297620618388,5,hourglass,early,0.0,83,118,118-108-83-108-118,1-2-4,395655,model_onnx/0498.onnx,1585845,2026-09-08T11:09:50.364529+00:00,29705100.650873005,0.41853350662762634,18.42068099975586
