Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:49:38.281,349.1,7.4,8.6,68,15.956,
25.8.2026,8:49:38.486,218.8,3.1,4.7,79,21.602,
25.8.2026,8:49:38.686,283.5,7.2,4.7,79,22.816,
25.8.2026,8:49:38.890,266.4,0.0,5.1,76,20.398,
25.8.2026,8:49:39.095,278.7,18.2,8.7,70,18.436,
25.8.2026,8:49:39.302,268.5,11.3,7.4,70,16.202,
25.8.2026,8:49:39.493,167.7,0.0,2.7,68,15.455,
25.8.2026,8:49:39.697,52.4,0.0,1.1,69,15.272,
25.8.2026,8:49:39.904,178.4,9.4,3.8,71,15.139,
25.8.2026,8:49:40.111,60.7,18.6,8.7,68,16.553,
25.8.2026,8:49:40.317,386.8,8.6,12.4,68,11.565,
25.8.2026,8:49:40.520,89.9,0.0,3.0,71,22.596,
25.8.2026,8:49:40.727,52.9,0.0,5.7,69,13.114,
25.8.2026,8:49:40.920,52.9,0.0,5.7,68,13.754,
25.8.2026,8:49:41.124,285.8,1.2,4.7,68,13.294,
25.8.2026,8:49:41.332,41.2,9.9,6.0,70,12.629,
25.8.2026,8:49:41.538,37.3,12.3,4.0,67,11.636,
25.8.2026,8:49:41.732,305.1,12.3,3.3,67,12.405,
25.8.2026,8:49:41.936,40.7,0.0,1.9,66,11.857,
25.8.2026,8:49:42.142,87.3,7.3,4.2,67,12.124,
25.8.2026,8:49:42.351,386.4,0.5,7.0,67,20.263,
25.8.2026,8:49:42.558,86.8,7.0,8.4,67,13.859,
25.8.2026,8:49:42.748,163.2,0.0,1.5,68,11.920,
25.8.2026,8:49:42.954,339.8,13.3,9.2,66,14.981,
25.8.2026,8:49:43.156,355.7,7.2,5.9,71,18.304,
25.8.2026,8:49:43.367,624.7,19.5,6.1,67,12.181,
25.8.2026,8:49:43.571,132.5,0.0,5.7,66,12.898,
25.8.2026,8:49:43.779,482.2,13.8,6.4,98,13.495,
25.8.2026,8:49:43.983,1650.1,41.0,19.1,88,36.928,
25.8.2026,8:49:44.183,1227.9,28.3,14.2,76,28.854,
25.8.2026,8:49:44.391,468.2,11.0,4.9,73,21.848,
25.8.2026,8:49:44.595,192.5,3.0,11.6,69,19.892,
25.8.2026,8:49:44.794,259.3,4.6,5.9,72,14.033,
25.8.2026,8:49:45.009,490.1,17.2,3.4,69,18.202,
25.8.2026,8:49:45.213,92.0,1.0,4.3,92,15.185,
25.8.2026,8:49:45.404,618.5,13.9,9.3,86,24.887,
25.8.2026,8:49:45.607,235.8,4.1,5.5,69,20.207,
25.8.2026,8:49:45.814,135.4,1.0,4.8,71,10.847,
25.8.2026,8:49:46.023,187.7,10.5,7.6,73,15.513,
25.8.2026,8:49:46.230,269.5,4.6,5.3,72,15.897,
25.8.2026,8:49:46.417,378.0,7.3,4.4,69,15.140,
25.8.2026,8:49:46.624,75.5,0.0,4.0,68,11.791,
25.8.2026,8:49:46.834,289.4,12.9,7.4,80,18.807,
