Date,Time,"CPU Package Power [W]","Total CPU Usage [%]","Core 0 Clock [MHz]","CPU Package [¡ÆC]",
31.8.2026,21:5:33.719,2.931,24.4,4099.7,55,
31.8.2026,21:5:33.922,11.194,12.7,1299.9,36,
31.8.2026,21:5:34.129,9.245,7.1,1299.9,36,
31.8.2026,21:5:34.339,5.950,7.8,1299.9,37,
31.8.2026,21:5:34.527,6.357,13.2,1299.9,36,
31.8.2026,21:5:34.734,5.547,7.2,1299.9,36,
31.8.2026,21:5:34.940,5.533,13.5,4199.7,37,
31.8.2026,21:5:35.146,8.355,6.9,1299.9,37,
31.8.2026,21:5:35.352,5.750,7.0,1199.9,36,
31.8.2026,21:5:35.551,5.107,7.0,1199.9,36,
31.8.2026,21:5:35.754,5.308,12.4,1299.9,36,
31.8.2026,21:5:35.958,5.328,7.0,1299.9,37,
31.8.2026,21:5:36.176,5.137,9.4,1399.9,36,
31.8.2026,21:5:36.373,5.381,9.4,1399.9,36,
31.8.2026,21:5:36.585,7.444,13.2,1199.9,36,
31.8.2026,21:5:36.789,4.644,8.8,1199.9,37,
31.8.2026,21:5:36.993,4.476,6.3,1299.9,37,
31.8.2026,21:5:37.196,4.627,7.2,1199.9,36,
31.8.2026,21:5:37.389,4.424,5.5,1199.9,36,
31.8.2026,21:5:37.601,6.217,10.6,4099.7,63,
31.8.2026,21:5:37.803,4.209,5.3,4099.7,44,
31.8.2026,21:5:38.007,4.807,8.3,4099.7,50,
31.8.2026,21:5:38.218,4.734,5.5,4099.7,58,
31.8.2026,21:5:38.422,4.076,10.2,4099.7,45,
31.8.2026,21:5:38.627,4.572,5.3,4099.7,40,
31.8.2026,21:5:38.840,4.880,8.2,4099.7,59,
31.8.2026,21:5:39.044,4.814,4.6,4099.7,63,
31.8.2026,21:5:39.255,4.019,9.3,4099.7,47,
31.8.2026,21:5:39.457,4.503,6.1,4099.7,46,
31.8.2026,21:5:39.660,5.517,7.3,4099.7,53,
31.8.2026,21:5:39.869,6.056,6.8,4099.7,64,
31.8.2026,21:5:40.063,4.300,4.8,3599.8,62,
31.8.2026,21:5:40.274,6.044,15.0,4099.7,52,
31.8.2026,21:5:40.477,5.049,7.3,3899.7,57,
31.8.2026,21:5:40.679,5.640,5.2,3199.8,54,
31.8.2026,21:5:40.872,4.521,7.0,3899.7,53,
31.8.2026,21:5:41.077,7.334,16.7,3199.8,59,
31.8.2026,21:5:41.288,4.716,5.4,4699.7,48,
31.8.2026,21:5:41.490,2.201,10.4,1499.9,37,
31.8.2026,21:5:41.700,3.122,9.6,1499.9,37,
31.8.2026,21:5:41.903,2.729,11.2,1499.9,39,
31.8.2026,21:5:42.115,3.261,12.9,1399.9,38,
31.8.2026,21:5:42.317,3.259,10.7,4099.7,37,
31.8.2026,21:5:42.521,2.548,10.6,1499.9,39,
31.8.2026,21:5:42.732,3.297,8.9,1499.9,40,
31.8.2026,21:5:42.944,3.305,12.4,1499.9,37,
31.8.2026,21:5:43.150,2.700,7.3,1499.9,38,
31.8.2026,21:5:43.351,2.425,11.5,1499.9,39,
31.8.2026,21:5:43.547,2.767,9.8,1499.9,38,
31.8.2026,21:5:43.752,3.147,15.1,4099.7,39,
31.8.2026,21:5:43.960,2.711,11.2,4099.7,37,
31.8.2026,21:5:44.162,2.862,11.3,4099.7,37,
31.8.2026,21:5:44.374,3.965,9.0,4699.7,41,
31.8.2026,21:5:44.560,2.358,9.7,4699.7,36,
31.8.2026,21:5:44.771,4.524,16.8,3499.8,41,
31.8.2026,21:5:44.974,3.402,11.2,1499.9,39,
31.8.2026,21:5:45.186,4.031,12.2,1899.9,36,
31.8.2026,21:5:45.372,2.843,9.3,1499.9,36,
31.8.2026,21:5:45.584,3.270,13.9,4699.7,37,
31.8.2026,21:5:45.788,3.550,9.3,4699.7,37,
31.8.2026,21:5:45.991,3.028,10.5,4699.7,37,
31.8.2026,21:5:46.202,2.489,9.9,1499.9,36,
31.8.2026,21:5:46.406,3.560,9.7,1399.9,37,
31.8.2026,21:5:46.609,2.678,10.5,1499.9,36,
31.8.2026,21:5:46.820,3.349,12.7,1399.9,37,
31.8.2026,21:5:47.024,2.900,7.8,1499.9,37,
31.8.2026,21:5:47.227,2.778,11.7,2499.8,36,
31.8.2026,21:5:47.421,2.423,7.7,3099.8,36,
31.8.2026,21:5:47.625,3.214,14.4,3899.7,37,
31.8.2026,21:5:47.829,2.680,11.7,4099.7,37,
31.8.2026,21:5:48.038,5.022,16.2,3799.7,40,
31.8.2026,21:5:48.245,16.177,20.9,4099.7,45,
31.8.2026,21:5:48.440,6.547,11.5,2299.8,36,
31.8.2026,21:5:48.642,4.104,12.2,1299.9,37,
31.8.2026,21:5:48.853,3.861,9.5,1399.9,36,
31.8.2026,21:5:49.057,2.866,11.8,1299.9,36,
31.8.2026,21:5:49.264,4.240,9.8,1299.9,36,
31.8.2026,21:5:49.453,4.240,11.5,1399.9,37,
31.8.2026,21:5:49.657,2.650,10.1,1199.9,36,
31.8.2026,21:5:49.867,4.836,7.3,1299.9,36,
31.8.2026,21:5:50.076,5.075,12.8,1199.9,36,
31.8.2026,21:5:50.269,4.283,11.1,1299.9,36,
31.8.2026,21:5:50.472,4.248,15.1,1199.9,37,
31.8.2026,21:5:50.683,4.425,9.9,1399.9,37,
31.8.2026,21:5:50.887,2.786,10.1,1299.9,37,
31.8.2026,21:5:51.090,2.554,9.2,1299.9,37,
31.8.2026,21:5:51.302,4.177,14.7,2299.8,36,
31.8.2026,21:5:51.504,3.246,4.9,1299.9,35,
31.8.2026,21:5:51.716,3.539,10.3,1299.9,37,
31.8.2026,21:5:51.919,3.800,7.6,1299.9,37,
31.8.2026,21:5:52.113,2.600,14.3,1299.9,38,
31.8.2026,21:5:52.314,3.365,17.9,1399.9,39,
31.8.2026,21:5:52.525,6.998,11.0,1299.9,36,
31.8.2026,21:5:52.727,3.711,13.9,1299.9,37,
31.8.2026,21:5:52.921,3.679,11.5,2199.9,37,
31.8.2026,21:5:53.123,4.029,10.4,1199.9,37,
31.8.2026,21:5:53.335,3.005,6.3,1299.9,36,
31.8.2026,21:5:53.545,3.371,10.3,1199.9,36,
31.8.2026,21:5:53.746,3.555,14.6,1499.9,39,
31.8.2026,21:5:53.958,3.547,8.6,1299.9,37,
31.8.2026,21:5:54.160,3.197,7.8,1299.9,37,
31.8.2026,21:5:54.371,3.714,12.6,4099.7,37,
31.8.2026,21:5:54.575,3.403,14.0,1299.9,38,
31.8.2026,21:5:54.766,4.372,14.0,1299.9,38,
31.8.2026,21:5:54.976,3.604,12.3,1299.9,37,
31.8.2026,21:5:55.179,4.037,13.1,1299.9,37,
31.8.2026,21:5:55.387,3.180,5.8,1199.9,37,
31.8.2026,21:5:55.589,5.323,10.5,1299.9,37,
31.8.2026,21:5:55.783,3.884,11.1,1299.9,37,
31.8.2026,21:5:55.993,3.753,19.0,3199.8,36,
31.8.2026,21:5:56.196,4.932,9.6,1299.9,36,
31.8.2026,21:5:56.398,3.639,11.6,1299.9,45,
31.8.2026,21:5:56.609,4.038,14.6,1399.9,38,
31.8.2026,21:5:56.819,4.400,10.9,3099.8,45,
31.8.2026,21:5:57.022,2.850,10.2,1299.9,36,
31.8.2026,21:5:57.230,2.952,10.8,1299.9,38,
31.8.2026,21:5:57.416,5.681,18.2,2199.9,41,
31.8.2026,21:5:57.621,19.786,53.3,4099.7,53,
31.8.2026,21:5:57.835,9.208,27.5,4699.7,38,
31.8.2026,21:5:58.033,11.011,26.2,4099.7,49,
31.8.2026,21:5:58.244,18.190,34.2,3499.8,51,
31.8.2026,21:5:58.447,16.366,36.8,3699.8,46,
31.8.2026,21:5:58.638,19.156,35.9,4099.7,47,
31.8.2026,21:5:58.846,7.404,26.6,1499.9,38,
31.8.2026,21:5:59.048,8.849,30.1,1399.9,45,
31.8.2026,21:5:59.262,11.283,28.4,1499.9,38,
31.8.2026,21:5:59.462,8.373,28.1,3299.8,46,
31.8.2026,21:5:59.669,11.495,24.5,3799.7,43,
31.8.2026,21:5:59.871,10.988,25.6,4099.7,49,
31.8.2026,21:6:0.085,18.374,42.0,4099.7,52,
31.8.2026,21:6:0.287,4.907,11.4,1499.9,39,
31.8.2026,21:6:0.499,3.791,9.0,1799.9,38,
31.8.2026,21:6:0.684,4.056,14.7,4099.7,38,
31.8.2026,21:6:0.900,8.751,23.7,4099.7,38,
31.8.2026,21:6:1.092,2.581,6.2,1499.9,41,
31.8.2026,21:6:1.303,4.143,16.6,1599.9,37,
31.8.2026,21:6:1.505,3.390,9.0,1499.9,44,
31.8.2026,21:6:1.716,2.507,7.9,1499.9,37,
31.8.2026,21:6:1.919,3.270,13.5,1499.9,37,
31.8.2026,21:6:2.113,2.629,13.8,1799.9,39,
31.8.2026,21:6:2.316,3.173,8.8,4399.7,38,
31.8.2026,21:6:2.527,3.863,7.1,1499.9,38,
31.8.2026,21:6:2.728,3.017,9.2,4699.7,37,
31.8.2026,21:6:2.921,2.689,12.3,1399.9,37,
31.8.2026,21:6:3.132,2.875,11.5,2599.8,38,
31.8.2026,21:6:3.336,2.746,10.2,1499.9,37,
31.8.2026,21:6:3.545,2.703,8.2,4299.7,37,
31.8.2026,21:6:3.739,2.674,11.4,1399.9,37,
31.8.2026,21:6:3.941,3.960,7.4,1299.9,37,
31.8.2026,21:6:4.151,3.589,11.9,1399.9,38,
31.8.2026,21:6:4.346,3.589,11.6,1299.9,37,
31.8.2026,21:6:4.547,4.392,12.9,1299.9,37,
31.8.2026,21:6:4.757,4.035,9.4,1399.9,37,
31.8.2026,21:6:4.967,3.561,8.1,1299.9,37,
31.8.2026,21:6:5.161,3.561,13.2,1299.9,38,
31.8.2026,21:6:5.363,4.419,13.6,1199.9,39,
31.8.2026,21:6:5.565,4.480,11.3,1299.9,38,
31.8.2026,21:6:5.774,4.703,9.2,1299.9,38,
31.8.2026,21:6:5.985,4.876,9.6,1299.9,37,
31.8.2026,21:6:6.169,4.676,16.5,1299.9,37,
31.8.2026,21:6:6.381,5.322,12.2,1899.9,38,
31.8.2026,21:6:6.589,3.035,11.6,1399.9,37,
31.8.2026,21:6:6.796,4.998,9.7,1299.9,37,
31.8.2026,21:6:6.983,4.994,12.2,1299.9,37,
31.8.2026,21:6:7.193,4.688,11.8,1299.9,37,
31.8.2026,21:6:7.398,4.720,12.5,1199.9,38,
31.8.2026,21:6:7.598,3.652,6.2,1299.9,37,
31.8.2026,21:6:7.810,3.473,12.7,1599.9,38,
31.8.2026,21:6:8.003,3.473,12.7,1599.9,38,
31.8.2026,21:6:8.211,4.448,14.9,1499.9,38,
31.8.2026,21:6:8.415,5.941,8.4,1299.9,37,
31.8.2026,21:6:8.614,4.112,6.3,1299.9,37,
31.8.2026,21:6:8.821,6.433,23.5,1299.9,38,
31.8.2026,21:6:9.023,6.588,10.3,1299.9,37,
31.8.2026,21:6:9.217,4.799,12.4,4099.7,44,
31.8.2026,21:6:9.429,3.844,11.2,1399.9,37,
31.8.2026,21:6:9.630,3.303,7.9,1399.9,38,
31.8.2026,21:6:9.841,4.624,14.1,1399.9,47,
31.8.2026,21:6:10.043,4.016,6.9,1399.9,37,
31.8.2026,21:6:10.257,4.101,11.2,1399.9,38,
31.8.2026,21:6:10.460,6.611,16.7,4099.7,40,
31.8.2026,21:6:10.660,6.520,12.5,1399.9,37,
