Date,Time,"Core 0 T0 Usage [%]","Total CPU Usage [%]","CPU Package Power [W]","Core 0 T0 Effective Clock [MHz]","CPU Package [¡ÆC]","Package C9 Residency [%]","Package C10 Residency [%]",
7.9.2026,22:58:19.163,24.9,19.1,7.265,1077.6,40,0.0,0.0,
7.9.2026,22:58:19.364,14.4,7.0,14.136,609.4,41,0.0,0.0,
7.9.2026,22:58:19.573,11.8,5.7,10.657,519.3,41,0.0,0.0,
7.9.2026,22:58:19.775,21.0,14.4,9.766,906.9,41,0.0,0.0,
7.9.2026,22:58:19.966,19.0,10.8,14.073,555.8,40,0.0,0.0,
7.9.2026,22:58:20.174,7.8,6.6,10.957,354.1,41,0.0,0.0,
7.9.2026,22:58:20.379,12.8,4.1,8.901,604.9,41,0.0,0.0,
7.9.2026,22:58:20.587,1.2,5.0,8.486,105.6,41,0.0,0.0,
7.9.2026,22:58:20.797,7.9,5.2,8.124,146.8,41,0.0,0.0,
7.9.2026,22:58:21.004,3.2,5.4,7.869,173.1,40,0.0,0.0,
7.9.2026,22:58:21.210,5.9,5.3,8.079,272.6,40,0.0,0.0,
7.9.2026,22:58:21.404,5.9,5.3,8.691,272.6,40,0.0,0.0,
7.9.2026,22:58:21.614,7.0,8.9,7.803,84.5,39,0.0,0.0,
7.9.2026,22:58:21.810,7.5,3.1,8.320,392.6,41,0.0,0.0,
7.9.2026,22:58:22.023,15.5,9.1,8.991,515.3,68,0.0,0.0,
7.9.2026,22:58:22.234,0.0,3.4,8.273,110.8,70,0.0,0.0,
7.9.2026,22:58:22.445,7.7,6.7,7.281,169.7,40,0.0,0.0,
7.9.2026,22:58:22.643,0.6,4.6,8.113,134.2,40,0.0,0.0,
7.9.2026,22:58:22.849,4.6,6.1,9.159,75.6,71,0.0,0.0,
7.9.2026,22:58:23.056,17.3,22.1,20.474,769.8,60,0.0,0.0,
7.9.2026,22:58:23.264,18.3,19.3,16.859,539.3,68,0.0,0.0,
7.9.2026,22:58:23.477,5.3,4.9,8.218,258.3,69,0.0,0.0,
7.9.2026,22:58:23.673,7.4,2.0,7.114,457.3,41,0.0,0.0,
7.9.2026,22:58:23.887,5.7,9.3,8.562,117.8,39,0.0,0.0,
7.9.2026,22:58:24.093,7.2,7.9,7.844,167.8,40,0.0,0.0,
7.9.2026,22:58:24.301,2.1,2.5,7.984,140.9,40,0.0,0.0,
7.9.2026,22:58:24.497,3.1,4.2,7.993,189.7,40,0.0,0.0,
7.9.2026,22:58:24.707,6.6,8.9,8.534,110.4,72,0.0,0.0,
7.9.2026,22:58:24.912,0.5,3.8,8.019,94.2,72,0.0,0.0,
7.9.2026,22:58:25.119,12.8,6.2,10.802,650.3,59,0.0,0.0,
7.9.2026,22:58:25.331,15.4,9.1,8.883,316.8,69,0.0,0.0,
7.9.2026,22:58:25.541,0.0,4.7,8.141,102.5,70,0.0,0.0,
7.9.2026,22:58:25.737,2.7,3.1,8.459,182.4,71,0.0,0.0,
7.9.2026,22:58:25.944,16.3,13.1,9.662,588.9,71,0.0,0.0,
7.9.2026,22:58:26.151,9.5,12.2,12.969,407.9,62,0.0,0.0,
7.9.2026,22:58:26.349,15.4,14.3,13.766,355.8,71,0.0,0.0,
7.9.2026,22:58:26.554,1.1,4.7,8.634,225.0,69,0.0,0.0,
7.9.2026,22:58:26.745,3.6,4.7,8.354,208.7,69,0.0,0.0,
7.9.2026,22:58:26.956,10.5,11.1,9.153,182.6,61,0.0,0.0,
7.9.2026,22:58:27.162,0.0,1.8,7.181,77.1,72,0.0,0.0,
7.9.2026,22:58:27.370,3.4,4.1,9.236,202.7,70,0.0,0.0,
7.9.2026,22:58:27.580,22.3,7.6,8.744,830.0,68,0.0,0.0,
7.9.2026,22:58:27.787,8.9,4.4,7.979,499.2,66,0.0,0.0,
7.9.2026,22:58:27.992,4.9,5.3,8.802,153.5,68,0.0,0.0,
7.9.2026,22:58:28.187,2.4,1.2,7.947,129.9,70,0.0,0.0,
7.9.2026,22:58:28.392,13.1,13.7,9.023,153.6,66,0.0,0.0,
7.9.2026,22:58:28.603,3.4,4.2,8.267,190.0,68,0.0,0.0,
7.9.2026,22:58:28.792,2.3,5.1,9.243,172.6,64,0.0,0.0,
7.9.2026,22:58:29.002,10.1,10.1,9.988,175.5,47,0.0,0.0,
7.9.2026,22:58:29.208,0.3,3.7,10.075,122.8,46,0.0,0.0,
7.9.2026,22:58:29.417,0.5,4.5,9.785,68.9,47,0.0,0.0,
7.9.2026,22:58:29.624,8.6,7.8,9.810,130.3,47,0.0,0.0,
7.9.2026,22:58:29.839,3.4,8.0,10.327,211.1,42,0.0,0.0,
7.9.2026,22:58:30.045,7.3,6.6,9.939,177.2,70,0.0,0.0,
7.9.2026,22:58:30.258,11.5,3.5,8.011,558.7,59,0.0,0.0,
7.9.2026,22:58:30.457,0.0,1.6,7.377,134.5,68,0.0,0.0,
7.9.2026,22:58:30.656,12.8,5.0,8.066,558.6,67,0.0,0.0,
7.9.2026,22:58:30.865,8.2,8.8,7.866,102.9,71,0.0,0.0,
7.9.2026,22:58:31.070,3.5,1.6,7.786,177.4,68,0.0,0.0,
