Date,Time,"Core 0 T0 Effective Clock [MHz]","Core 0 T0 Usage [%]","CPU Package [¡ÆC]","Total CPU Usage [%]","CPU Package Power [W]",
8.9.2026,20:18:39.959,667.5,15.5,41,12.3,11.884,
8.9.2026,20:18:40.101,667.5,15.5,61,12.3,11.884,
8.9.2026,20:18:40.294,743.3,16.9,45,11.2,14.227,
8.9.2026,20:18:40.501,489.7,16.9,44,11.6,10.393,
8.9.2026,20:18:40.710,1162.9,26.7,42,13.7,14.182,
8.9.2026,20:18:40.913,457.5,9.8,42,5.4,8.686,
8.9.2026,20:18:41.107,569.8,13.4,44,8.3,10.823,
8.9.2026,20:18:41.312,247.6,11.4,41,9.0,9.356,
8.9.2026,20:18:41.524,181.0,3.0,42,5.1,8.977,
8.9.2026,20:18:41.733,81.8,5.0,41,5.8,8.575,
8.9.2026,20:18:41.939,162.6,2.8,42,4.8,9.047,
8.9.2026,20:18:42.147,189.4,3.1,41,5.1,8.710,
8.9.2026,20:18:42.352,79.2,0.9,41,4.0,8.943,
8.9.2026,20:18:42.544,754.2,23.1,58,24.1,16.515,
8.9.2026,20:18:42.752,728.0,16.9,61,20.4,19.899,
8.9.2026,20:18:42.964,147.1,2.3,41,3.9,9.103,
8.9.2026,20:18:43.159,131.8,4.6,41,9.4,9.085,
8.9.2026,20:18:43.370,179.9,1.1,41,2.3,8.808,
8.9.2026,20:18:43.559,444.0,16.2,41,14.7,9.379,
8.9.2026,20:18:43.766,461.6,10.1,41,5.6,10.090,
8.9.2026,20:18:43.979,291.9,5.5,41,3.8,9.164,
8.9.2026,20:18:44.173,96.8,6.6,41,7.4,7.854,
8.9.2026,20:18:44.386,90.5,0.0,41,2.4,8.628,
8.9.2026,20:18:44.599,114.1,5.6,41,7.3,7.101,
8.9.2026,20:18:44.812,65.5,0.0,41,3.0,7.954,
8.9.2026,20:18:45.025,102.2,6.2,41,6.9,7.961,
8.9.2026,20:18:45.221,463.2,11.9,42,7.2,7.197,
8.9.2026,20:18:45.428,401.4,7.1,41,2.2,7.611,
8.9.2026,20:18:45.619,183.2,9.5,40,5.7,7.994,
8.9.2026,20:18:45.830,107.4,0.5,41,4.7,7.788,
8.9.2026,20:18:46.042,178.9,3.0,40,4.1,7.709,
8.9.2026,20:18:46.255,96.9,4.8,40,4.7,7.745,
8.9.2026,20:18:46.457,84.9,5.3,40,7.5,7.605,
8.9.2026,20:18:46.674,144.1,0.0,41,1.2,7.924,
8.9.2026,20:18:46.878,129.1,5.3,41,5.5,7.914,
8.9.2026,20:18:47.075,550.0,13.1,40,7.5,7.960,
8.9.2026,20:18:47.283,599.2,16.1,41,9.1,7.668,
8.9.2026,20:18:47.493,391.8,7.9,40,4.1,8.788,
8.9.2026,20:18:47.682,306.1,5.7,41,1.9,8.732,
8.9.2026,20:18:47.892,376.0,14.0,40,12.2,8.952,
8.9.2026,20:18:48.097,442.4,9.1,41,3.9,9.107,
8.9.2026,20:18:48.307,480.5,9.7,40,7.1,10.256,
8.9.2026,20:18:48.494,454.5,10.4,41,7.1,9.224,
8.9.2026,20:18:48.702,358.1,13.5,41,10.4,9.294,
8.9.2026,20:18:48.909,285.2,5.5,41,3.5,8.428,
8.9.2026,20:18:49.117,206.0,3.6,41,4.8,7.981,
8.9.2026,20:18:49.309,269.3,11.8,41,8.7,9.143,
8.9.2026,20:18:49.516,283.4,5.4,40,3.1,8.454,
8.9.2026,20:18:49.725,228.0,4.0,41,6.1,8.441,
8.9.2026,20:18:49.921,243.3,4.2,40,4.7,8.441,
8.9.2026,20:18:50.127,65.4,4.8,41,6.4,8.514,
8.9.2026,20:18:50.344,106.5,6.7,40,7.1,8.013,
8.9.2026,20:18:50.551,76.1,0.0,40,3.0,7.964,
8.9.2026,20:18:50.744,165.1,8.7,40,9.7,7.964,
8.9.2026,20:18:50.971,347.1,7.2,40,3.3,8.800,
8.9.2026,20:18:51.176,579.1,11.3,41,5.8,7.951,
8.9.2026,20:18:51.373,144.8,6.3,41,5.1,7.951,
8.9.2026,20:18:51.583,98.4,0.8,41,6.5,8.115,
8.9.2026,20:18:51.789,53.0,0.0,41,2.4,8.039,
8.9.2026,20:18:51.981,154.0,8.8,41,10.3,8.291,
8.9.2026,20:18:52.188,157.3,2.7,41,3.0,7.964,
8.9.2026,20:18:52.398,91.3,0.0,40,4.1,7.404,
8.9.2026,20:18:52.593,91.3,0.0,40,4.1,7.976,
8.9.2026,20:18:52.810,134.0,7.2,39,8.1,8.171,
8.9.2026,20:18:53.021,114.5,5.3,41,4.7,7.801,
8.9.2026,20:18:53.227,188.0,1.4,41,5.6,7.942,
8.9.2026,20:18:53.421,52.2,0.0,41,4.6,7.944,
8.9.2026,20:18:53.638,76.8,6.6,70,6.0,8.706,
8.9.2026,20:18:53.844,187.9,6.2,41,5.2,8.337,
8.9.2026,20:18:54.059,95.5,5.0,41,7.4,7.905,
8.9.2026,20:18:54.276,109.7,0.0,40,2.9,8.096,
8.9.2026,20:18:54.473,66.0,4.3,39,9.3,7.914,
8.9.2026,20:18:54.682,144.9,2.3,39,2.8,7.930,
8.9.2026,20:18:54.877,383.6,12.7,40,9.8,8.381,
8.9.2026,20:18:55.089,67.6,0.0,41,2.7,8.087,
8.9.2026,20:18:55.302,287.7,9.9,40,6.6,7.633,
8.9.2026,20:18:55.505,793.8,17.9,39,3.9,7.836,
8.9.2026,20:18:55.711,181.8,0.9,40,4.5,7.894,
8.9.2026,20:18:55.901,101.3,8.4,40,5.5,7.973,
8.9.2026,20:18:56.110,113.1,0.0,40,5.3,7.978,
8.9.2026,20:18:56.317,154.4,4.5,40,5.2,8.223,
8.9.2026,20:18:56.510,117.8,7.9,40,6.8,7.886,
8.9.2026,20:18:56.722,91.0,0.0,39,2.7,7.952,
8.9.2026,20:18:56.939,119.5,5.1,41,4.8,8.383,
8.9.2026,20:18:57.135,90.2,5.4,39,6.0,8.110,
8.9.2026,20:18:57.351,46.4,0.0,39,4.2,8.035,
8.9.2026,20:18:57.555,83.0,2.6,41,4.4,7.979,
8.9.2026,20:18:57.760,125.7,8.6,41,5.8,7.940,
8.9.2026,20:18:57.980,152.4,0.0,40,2.8,8.300,
8.9.2026,20:18:58.191,97.3,5.3,41,7.6,8.403,
8.9.2026,20:18:58.396,72.6,4.3,40,5.2,7.732,
8.9.2026,20:18:58.597,309.5,7.3,40,9.1,7.054,
8.9.2026,20:18:58.793,152.3,5.4,41,6.7,9.158,
8.9.2026,20:18:59.010,71.8,0.0,40,3.7,8.077,
8.9.2026,20:18:59.225,146.6,6.8,40,6.3,8.432,
8.9.2026,20:18:59.428,158.3,4.4,40,8.1,8.060,
8.9.2026,20:18:59.639,230.1,1.5,40,3.7,7.632,
8.9.2026,20:18:59.856,186.0,5.3,40,4.3,8.602,
8.9.2026,20:19:0.071,91.3,6.3,40,9.5,7.880,
8.9.2026,20:19:0.267,138.5,4.0,40,5.8,7.678,
8.9.2026,20:19:0.479,156.7,0.0,39,3.8,7.667,
8.9.2026,20:19:0.693,177.6,8.2,40,8.3,7.605,
8.9.2026,20:19:0.889,196.5,7.3,40,6.8,7.605,
8.9.2026,20:19:1.100,160.6,2.3,40,4.8,8.049,
