id,candidate_id,selection_reason,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0501,C028658,mean_acc_energy_pareto,1830800459670494969,6,increasing,early,0.0,90,253,90-163-193-216-236-253,1-2-4-5,1792630,model_onnx/0501.onnx,7174403,2026-09-17T13:49:35.739856+00:00
0502,C002898,mean_acc_energy_pareto,6763049188880901712,6,increasing,early,0.0,53,242,53-138-173-199-222-242,1-2-3-4-6,1476541,model_onnx/0502.onnx,5910266,2026-09-17T13:49:35.887661+00:00
0503,C000653,mean_acc_energy_pareto,6225875175495361701,6,increasing,early,0.05,42,210,42-121-142-166-185-210,1-2-3-4-5,1042674,model_onnx/0503.onnx,4174795,2026-09-17T13:49:36.013208+00:00
0504,C038214,mean_acc_energy_pareto,2161984093225211030,5,increasing,late,0.1,56,241,56-65-110-175-241,1-2-3-4,654514,model_onnx/0504.onnx,2621509,2026-09-17T13:49:36.082563+00:00
0505,C027201,mean_acc_energy_pareto,4720685222591577414,6,increasing,linear,0.1,36,203,36-71-107-148-157-203,1-2-3-4-5,733598,model_onnx/0505.onnx,2938488,2026-09-17T13:49:36.197321+00:00
0506,C045848,mean_acc_energy_pareto,6297814903714004961,6,increasing,linear,0.1,28,207,28-59-104-131-187-207,1-2-3-4-6,765114,model_onnx/0506.onnx,3064551,2026-09-17T13:49:36.309930+00:00
0507,C007061,mean_acc_energy_pareto,5214099786978613142,6,increasing,early,0.1,9,144,9-71-94-116-134-144,1-2-3-4-5,479774,model_onnx/0507.onnx,1923186,2026-09-17T13:49:36.393454+00:00
0508,C032483,mean_acc_energy_pareto,2368186944528952820,6,increasing,late,0.1,14,245,14-24-52-100-147-245,1-2-3-4-6,520911,model_onnx/0508.onnx,2087730,2026-09-17T13:49:36.490546+00:00
0509,C017143,mean_acc_energy_pareto,405548939719029302,6,increasing,late,0.05,20,167,20-26-42-76-114-167,1-2-3-4-5,295219,model_onnx/0509.onnx,1184961,2026-09-17T13:49:36.572646+00:00
0510,C042472,mean_acc_energy_pareto,3875732980980196474,6,increasing,late,0.0,8,174,8-15-35-68-114-174,1-2-3-4-5,277897,model_onnx/0510.onnx,1115671,2026-09-17T13:49:36.653842+00:00
0511,C031503,mean_acc_energy_pareto,7035214686820451880,5,increasing,late,0.1,14,114,14-19-39-76-114,1-2-3-4-5,115505,model_onnx/0511.onnx,465681,2026-09-17T13:49:36.722470+00:00
0512,C045904,mean_acc_energy_pareto,2407515969642761130,6,increasing,linear,0.1,12,87,12-29-44-60-78-87,1-2-3-4-5,143084,model_onnx/0512.onnx,576417,2026-09-17T13:49:36.790754+00:00
0513,C010255,mean_acc_energy_pareto,981137841317433769,4,increasing,linear,0.1,11,84,11-35-60-84,1-2-3-4,69062,model_onnx/0513.onnx,279271,2026-09-17T13:49:36.846944+00:00
0514,C003302,mean_acc_energy_pareto,2122871703977865980,4,increasing,linear,0.1,13,76,13-36-50-76,1-2-3-4,55908,model_onnx/0514.onnx,226657,2026-09-17T13:49:36.896930+00:00
0515,C021213,mean_acc_energy_pareto,1520571301591443261,5,increasing,linear,0.0,11,61,11-24-36-48-61,1-2-3-4-5,53153,model_onnx/0515.onnx,216273,2026-09-17T13:49:36.963970+00:00
0516,C009277,mean_acc_energy_pareto,3892657065878969216,6,increasing,linear,0.1,9,47,9-16-26-34-42-47,1-2-3-4-5,44511,model_onnx/0516.onnx,182120,2026-09-17T13:49:37.029473+00:00
0517,C005734,mean_acc_energy_pareto,858329521624705069,4,increasing,late,0.1,8,39,8-11-23-39,1-2-3-4,11839,model_onnx/0517.onnx,50373,2026-09-17T13:49:37.081262+00:00
0518,C032321,mean_acc_energy_pareto,4516708197439151339,4,inverse_hourglass,early,0.0,12,14,12-14-14-12,1-2-3-4,5294,model_onnx/0518.onnx,24189,2026-09-17T13:49:37.124468+00:00
0519,C000883,mean_acc_energy_pareto,296072201989045859,4,uniform,linear,0.1,14,14,14-14-14-14,1-2-3-4,5876,model_onnx/0519.onnx,26517,2026-09-17T13:49:37.179778+00:00
0520,C023242,mean_acc_energy_pareto,688303013832059520,5,uniform,linear,0.1,13,13,13-13-13-13-13,1-2-3-4,6640,model_onnx/0520.onnx,29988,2026-09-17T13:49:37.245401+00:00
0521,C004280,high_mean_accuracy,7636588611910180172,6,increasing,early,0.05,64,235,64-136-165-189-227-235,1-2-3-4-6,1432297,model_onnx/0521.onnx,5733290,2026-09-17T13:49:37.394244+00:00
0522,C033729,high_mean_accuracy,6901232056551839903,6,increasing,early,0.05,69,254,69-149-188-216-229-254,1-2-3-5-6,1684297,model_onnx/0522.onnx,6741290,2026-09-17T13:49:37.489397+00:00
0523,C007789,high_mean_accuracy,1648424441228987011,6,increasing,early,0.05,56,243,56-138-182-192-221-243,1-2-4-5-6,1480291,model_onnx/0523.onnx,5925266,2026-09-17T13:49:37.600361+00:00
0524,C038769,high_mean_accuracy,2140617413892990732,6,increasing,early,0.0,68,248,68-148-182-207-229-248,1-2-3-5-6,1615229,model_onnx/0524.onnx,6465018,2026-09-17T13:49:37.752066+00:00
0525,C002188,high_mean_accuracy,19475528703082997,6,increasing,late,0.05,81,247,81-85-112-135-182-247,1-2-3-4-6,914950,model_onnx/0525.onnx,3663896,2026-09-17T13:49:37.883032+00:00
0526,C009220,high_mean_accuracy,4065121847179459313,6,increasing,late,0.05,84,255,84-92-114-145-198-255,1-2-4-5-6,1031230,model_onnx/0526.onnx,4129016,2026-09-17T13:49:37.972332+00:00
0527,C002433,high_mean_accuracy,4919498512586247541,6,increasing,linear,0.0,86,250,86-119-152-184-217-250,1-2-4-5,1360052,model_onnx/0527.onnx,5444086,2026-09-17T13:49:38.070397+00:00
0528,C016052,high_mean_accuracy,1522047950632237756,6,increasing,linear,0.0,78,244,78-111-144-178-211-244,1-2-3-4-5,1259366,model_onnx/0528.onnx,5041563,2026-09-17T13:49:38.213057+00:00
0529,C029819,high_mean_accuracy,5959742380580312254,6,increasing,early,0.0,88,247,88-159-189-211-230-247,1-2-6,1709338,model_onnx/0529.onnx,6841012,2026-09-17T13:49:38.373726+00:00
0530,C002793,high_mean_accuracy,480274813204075835,6,increasing,early,0.05,51,212,51-120-147-183-202-212,1-2-4-5,1178481,model_onnx/0530.onnx,4717802,2026-09-17T13:49:38.475402+00:00
0531,C004555,low_mean_energy,7339160182301088906,5,uniform,linear,0.0,12,12,12-12-12-12-12,1-2-3-4-5,5698,model_onnx/0531.onnx,26441,2026-09-17T13:49:38.536067+00:00
0532,C002328,low_mean_energy,667895695915595575,5,uniform,late,0.05,14,14,14-14-14-14-14,1-2-3-4-5,7654,model_onnx/0532.onnx,34265,2026-09-17T13:49:38.596340+00:00
0533,C024630,low_mean_energy,556652432274193651,4,uniform,linear,0.05,13,13,13-13-13-13,1-2-3,5106,model_onnx/0533.onnx,23216,2026-09-17T13:49:38.668204+00:00
0534,C010098,low_mean_energy,5889507476635797088,5,uniform,linear,0.0,14,14,14-14-14-14-14,1-2-3-4,7654,model_onnx/0534.onnx,34044,2026-09-17T13:49:38.722267+00:00
0535,C002241,low_mean_energy,3179833863557385076,6,uniform,late,0.05,13,13,13-13-13-13-13-13,1-2-3-4-5,8174,model_onnx/0535.onnx,36760,2026-09-17T13:49:38.782868+00:00
0536,C035666,low_mean_energy,2971488483218782882,4,hourglass,linear,0.1,13,14,14-13-13-14,1-2-3-4,5379,model_onnx/0536.onnx,24529,2026-09-17T13:49:38.837956+00:00
0537,C006483,low_mean_energy,2775009537049986249,6,uniform,linear,0.05,12,12,12-12-12-12-12-12,1-2-3-4-6,7006,model_onnx/0537.onnx,32088,2026-09-17T13:49:38.904779+00:00
0538,C016970,low_mean_energy,2411874805599073337,6,uniform,linear,0.0,13,13,13-13-13-13-13-13,1-2-3-5-6,8174,model_onnx/0538.onnx,36760,2026-09-17T13:49:38.965625+00:00
