selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_upper_ms,latency_relative_uncertainty,combined_relative_uncertainty,capacity_energy_score,is_capacity_energy_pareto,is_latency_energy_pareto
1,low_energy_ucb,C004555,7339160182301088906,5,uniform,linear,0.0,5,1-2-3-4-5,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3-4-5,5,5698,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,5.0,772416.0,1544832.0,16368.0,1.0,1.0,0.00078370876,0.0008057702420046,6.578862022285e-05,0.0008715588622275,0.0816468725119162,0.06467643,0.0706224123015999,0.0078578276256716,0.0784802399272716,0.1112653528757131,0.0964561126938146,0.023917724247168454,True,True
2,low_energy_ucb,C023242,688303013832059520,5,uniform,linear,0.1,4,1-2-3-4,13,13,13-13-13-13-13,6640,1,13-13-13-13-13|1-2-3-4,5,6640,uniform,linear,13.0,1.0,13.0,1.0,13.0,1.0,13.0,1.0,13.0,0.0,,0.0,13.0,13.0,13.0,0.0,65.0,0.0,13.0,13.0,1.0,4.0,876564.0,1753128.0,17732.0,2.0,2.0,0.00079066755,0.0008073113567661,7.197388656591534e-05,0.000879285243332,0.0891525753511277,0.06452829,0.0706698300316929,0.0084617103452562,0.0791315403769492,0.1197358242047766,0.1044441997779522,0.018242262069996018,True,False
3,low_energy_ucb,C002328,667895695915595575,5,uniform,late,0.05,5,1-2-3-4-5,14,14,14-14-14-14-14,7654,1,14-14-14-14-14|1-2-3-4-5,5,7654,uniform,late,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,,0.0,14.0,14.0,14.0,0.0,70.0,0.0,14.0,14.0,1.0,5.0,986832.0,1973664.0,19096.0,1.0,1.0,0.00077110686,0.0008239960880018,7.254417907290742e-05,0.0008965402670747,0.0880394702465409,0.06426603,0.0726613560691475,0.0080557637478624,0.08071711981701,0.1108672365018386,0.0994533533741898,0.012764199686144846,True,False
10,low_energy_ucb,C002241,3179833863557385076,6,uniform,late,0.05,5,1-2-3-4-5,13,13,13-13-13-13-13-13,8174,1,13-13-13-13-13-13|1-2-3-4-5,6,8174,uniform,late,13.0,1.0,13.0,1.0,13.0,1.0,13.0,1.0,13.0,1.0,13.0,0.0,13.0,13.0,13.0,0.0,78.0,0.0,13.0,13.0,1.0,5.0,878085.0,1756170.0,17745.0,1.0,1.0,0.000782799,0.0008335028076544,8.823736606558834e-05,0.00092174017372,0.1058633099436066,0.06449425,0.0715761613100767,0.0090270388735868,0.0806032001836635,0.1261179519600188,0.1159906309518127,0.011109629715009964,True,False
15,low_energy_ucb,C017250,6560500304283218663,6,hourglass,linear,0.0,5,1-2-3-4-5,14,14,14-14-14-14-14-14,9432,1,14-14-14-14-14-14|1-2-3-4-5,6,9432,hourglass,linear,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,0.0,14.0,14.0,14.0,0.0,84.0,0.0,14.0,14.0,1.0,5.0,988596.0,1977192.0,19110.0,1.0,1.0,0.0007645659,0.0008348643372301,9.765291225051618e-05,0.0009325172494806,0.1169685994427637,0.06410103,0.0749463122338056,0.0094066849202139,0.0843529971540196,0.1255123119449623,0.121240455693863,0.0035626988129930856,True,False
16,capacity_energy_pareto,C024575,309615666265252828,6,inverse_hourglass,early,0.1,2,1-4,92,250,92-208-250-250-204-92,1835146,5,92-208-250-250-204-92|1-4,6,1835146,inverse_hourglass,early,92.0,1.0,208.0,0.0,250.0,0.0,250.0,1.0,204.0,0.0,92.0,0.0,92.0,250.0,182.66666666666663,66.58995586589785,1096.0,158.0,92.0,92.0,1.0,2.0,350627328.0,701254656.0,294400.0,8.0,8.0,0.07764155,0.0838532343506813,0.0110669815580678,0.0949202159087491,0.1319803779039078,5.8500276,6.052544283866882,0.5576312014743677,6.61017548534125,0.09213170120221,0.1120560395530589,-5.416427482352,True,False
17,capacity_energy_pareto,C028253,682065126021911148,6,increasing,early,0.1,5,1-2-3-4-6,93,242,93-168-194-213-229-242,1749677,5,93-168-194-213-229-242|1-2-3-4-6,6,1749677,increasing,early,93.0,1.0,168.0,1.0,194.0,1.0,213.0,1.0,229.0,0.0,242.0,1.0,93.0,242.0,189.8333333333333,49.434861743061,1139.0,149.0,93.0,242.0,2.6021505376344085,5.0,67043340.0,134086680.0,155948.0,1.0,1.0,0.020032952,0.0200244294479489,0.0012867240454037,0.0213111534933527,0.0642577132471344,1.2568455,1.3382445871829989,0.0440260240708525,1.3822706112538512,0.0328983389826572,0.0485780261148958,-10.050128579038342,True,False
18,capacity_energy_pareto,C038769,2140617413892990732,6,increasing,early,0.0,5,1-2-3-5-6,68,248,68-148-182-207-229-248,1615229,5,68-148-182-207-229-248|1-2-3-5-6,6,1615229,increasing,early,68.0,1.0,148.0,1.0,182.0,1.0,207.0,0.0,229.0,1.0,248.0,1.0,68.0,248.0,180.3333333333333,59.617298011753455,1082.0,180.0,68.0,248.0,3.647058823529412,5.0,54878256.0,109756512.0,127136.0,1.0,1.0,0.015787719,0.0155001575592905,0.0010044053177442,0.0165045628770347,0.0647996843839951,1.1368312,1.1384238183498383,0.0349611381982354,1.1733849565480738,0.0307101253809957,0.0477549048824954,-9.5016505061065,True,False
19,capacity_energy_pareto,C021853,2694996385719132975,6,increasing,early,0.1,5,1-2-3-4-5,30,229,30-122-149-169-212-229,1186576,5,30-122-149-169-212-229|1-2-3-4-5,6,1186576,increasing,early,30.0,1.0,122.0,1.0,149.0,1.0,169.0,1.0,212.0,1.0,229.0,0.0,30.0,229.0,151.83333333333334,65.33354591802149,911.0,199.0,30.0,229.0,7.633333333333334,5.0,25085412.0,50170824.0,75269.0,1.0,1.0,0.0070807864,0.0069524160120636,0.0006285452736653,0.0075809612857289,0.090406740991149,0.59251714,0.5946869760751724,0.050395458899476,0.6450824349746485,0.0847428326614399,0.0875747868262945,-7.3009421040908595,True,False
20,capacity_energy_pareto,C038326,822941080045675780,6,increasing,linear,0.0,5,1-2-3-5-6,10,251,10-58-106-155-203-251,953757,5,10-58-106-155-203-251|1-2-3-5-6,6,953757,increasing,linear,10.0,1.0,58.0,1.0,106.0,1.0,155.0,0.0,203.0,1.0,251.0,1.0,10.0,251.0,130.5,82.41510783830839,783.0,241.0,10.0,251.0,25.1,5.0,13885236.0,27770472.0,38604.0,1.0,1.0,0.0027105054,0.0035357357235625,0.0003821144259361,0.0039178501494986,0.1080721116653778,0.36514765,0.3618718475103378,0.0367081221056856,0.3985799696160235,0.1014395630890767,0.1047558373772273,-6.0220589800320985,True,False
