selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_lower_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_lower_ms,latency_upper_ms,latency_relative_uncertainty,predicted_accuracy_percent,ensemble_accuracy_mean_percent,accuracy_uncertainty_std_percent,accuracy_lower_percent,accuracy_upper_percent,accuracy_relative_uncertainty,combined_relative_uncertainty,is_measured_candidate,pareto_value_source,measured_model_id,is_mean_accuracy_energy_pareto,is_mean_accuracy_latency_pareto,is_mean_capacity_energy_pareto,accuracy_energy_score
1,mean_acc_energy_pareto,C022043,2316540202496912256,6,inverse_hourglass,early,0.05,4,1-2-3-6,73,128,73-105-128-128-112-73,543339,4,73-105-128-128-112-73|1-2-3-6,6,543339,inverse_hourglass,early,73.0,1.0,105.0,1.0,128.0,1.0,128.0,0.0,112.0,0.0,73.0,1.0,73.0,128.0,103.16666666666669,22.8576512840279,619.0,55.0,73.0,73.0,1.0,4.0,33020928.0,66041856.0,114832.0,2.0,2.0,,,,0.010873635,0.0106307121459394,0.0008916489229117,0.0097390632230276,0.0115223610688512,0.0838748063790208,0.86918133,0.8134017199277878,0.0617086625248368,0.7516930574029509,0.8751103824526246,0.0758649275173836,84.91764,85.11228141784667,0.438593328028851,84.67368808981783,85.55087474587552,0.0051531144591887,0.0549642827851977,False,predicted,,True,False,False,0.3806143609005026
2,mean_acc_energy_pareto,C041255,6349615630359511521,6,inverse_hourglass,linear,0.0,5,1-2-3-5-6,70,139,70-98-139-139-98-70,545779,4,70-98-139-139-98-70|1-2-3-5-6,6,545779,inverse_hourglass,linear,70.0,1.0,98.0,1.0,139.0,1.0,139.0,0.0,98.0,1.0,70.0,1.0,70.0,139.0,102.33333333333331,28.33529404980455,614.0,69.0,70.0,70.0,1.0,5.0,30577824.0,61155648.0,109736.0,1.0,1.0,,,,0.009568165,0.0091745926532894,0.0004573354140581,0.0087172572392313,0.0096319280673475,0.0498480348219224,0.8544543,0.7439826101064682,0.050499059126498,0.6934835509799702,0.7944816692329661,0.0678766659872215,84.46665,84.99977531433106,0.4499925634146291,84.54978275091644,85.44976787774569,0.005294044151888,0.041006248320344,False,predicted,,True,False,False,0.48779810135451207
3,mean_acc_energy_pareto,C002060,2618526592950074215,5,increasing,linear,0.1,4,1-2-3-4,59,203,59-96-130-175-203,692067,5,59-96-130-175-203|1-2-3-4,5,692067,increasing,linear,59.0,1.0,96.0,1.0,130.0,1.0,175.0,1.0,203.0,0.0,,0.0,59.0,203.0,132.6,51.99461510579725,663.0,144.0,59.0,203.0,3.440677966101695,4.0,26424468.0,52848936.0,96924.0,2.0,2.0,,,,0.008827422,0.0077135480940341,0.0008434355318855,0.0068701125621486,0.0085569836259197,0.1093446908742117,0.61802894,0.6047399461269378,0.0312340514037979,0.5735058947231398,0.6359739975307358,0.0516487319943666,85.37831,84.95376548767089,0.3975625926159404,84.55620289505495,85.35132808028683,0.0046797524551591,0.0552243917745791,False,predicted,,True,True,False,0.5962672065143444
4,mean_acc_energy_pareto,C018589,867627552955769297,5,increasing,linear,0.1,4,1-2-3-4,55,181,55-81-122-155-181,555617,4,55-81-122-155-181|1-2-3-4,5,555617,increasing,linear,55.0,1.0,81.0,1.0,122.0,1.0,155.0,1.0,181.0,0.0,,0.0,55.0,181.0,118.8,46.2359167747326,594.0,126.0,55.0,181.0,3.290909090909091,4.0,21210012.0,42420024.0,88068.0,2.0,2.0,,,,0.0077091167,0.0065509814303368,0.0007750613943274,0.0057759200360093,0.0073260428246642,0.118312256349594,0.53198075,0.5155765607953071,0.0335347345912488,0.4820418262040583,0.5491112953865559,0.0650431713565867,85.32493,84.833540725708,0.3146740247162461,84.51886670099177,85.14821475042424,0.0037093114589391,0.0623549130550399,False,predicted,,True,True,False,0.6814232803860651
5,mean_acc_energy_pareto,C001064,6226655859886440323,6,increasing,linear,0.0,5,1-2-3-4-6,63,130,63-76-90-103-117-130,437021,4,63-76-90-103-117-130|1-2-3-4-6,6,437021,increasing,linear,63.0,1.0,76.0,1.0,90.0,1.0,103.0,1.0,117.0,0.0,130.0,1.0,63.0,130.0,96.5,22.983689869122408,579.0,67.0,63.0,130.0,2.063492063492064,5.0,19029492.0,38058984.0,92364.0,1.0,1.0,,,,0.007027978,0.0063989148009568,0.0004732717978319,0.0059256430031248,0.0068721865987888,0.0739612594562428,0.4827585,0.4954886451363564,0.0264049330736695,0.4690837120626868,0.5218935782100259,0.0532906925978152,84.92824,84.39204063415528,0.5187953844486125,83.87324524970667,84.91083601860389,0.0061474444811403,0.0444664655117328,False,predicted,,True,True,False,0.686686637101942
6,mean_acc_energy_pareto,C011474,8192051892467157115,6,increasing,linear,0.05,5,1-2-3-4-5,59,138,59-78-92-102-122-138,457552,4,59-78-92-102-122-138|1-2-3-4-5,6,457552,increasing,linear,59.0,1.0,78.0,1.0,92.0,1.0,102.0,1.0,122.0,1.0,138.0,0.0,59.0,138.0,98.5,26.29163365026981,591.0,79.0,59.0,138.0,2.3389830508474576,5.0,18318420.0,36636840.0,88530.0,1.0,1.0,,,,0.006705507,0.0061131749534979,0.0007345583483255,0.0053786166051724,0.0068477333018234,0.1201598766456424,0.46208826,0.480281625688076,0.0319228809944524,0.4483587446936236,0.5122045066825285,0.0664670045386767,85.04746,84.33132934570312,0.4751063586354362,83.8562229870677,84.80643570433855,0.0056338061112236,0.0640868957651809,False,predicted,,True,True,False,0.7071866002003071
7,mean_acc_energy_pareto,C030032,6390967175697519079,5,increasing,late,0.0,5,1-2-3-4-5,51,252,51-64-101-164-252,613119,5,51-64-101-164-252|1-2-3-4-5,5,613119,increasing,late,51.0,1.0,64.0,1.0,101.0,1.0,164.0,1.0,252.0,1.0,,0.0,51.0,252.0,126.4,74.04485127272524,632.0,201.0,51.0,252.0,4.941176470588236,5.0,16526592.0,33053184.0,78704.0,1.0,1.0,,,,0.006412563,0.0058974669547751,0.0007718063859863,0.0051256605687888,0.0066692733407614,0.130870828425987,0.4796532,0.4784222871065139,0.048456996169763,0.4299652909367509,0.5268792832762771,0.101284989173121,85.50942,84.1070556640625,0.4513267788670003,83.6557288851955,84.5583824429295,0.0053660988998315,0.0791739721663132,False,predicted,,True,False,False,0.7201999100208107
8,mean_acc_energy_pareto,C027466,5626049831281523125,6,increasing,early,0.05,5,1-2-3-4-5,22,165,22-88-114-133-155-165,662811,5,22-88-114-133-155-165|1-2-3-4-5,6,662811,increasing,early,22.0,1.0,88.0,1.0,114.0,1.0,133.0,1.0,155.0,1.0,165.0,0.0,22.0,165.0,112.83333333333331,47.914565171308354,677.0,143.0,22.0,165.0,7.5,5.0,14002875.0,28005750.0,55265.0,1.0,1.0,,,,0.005193537,0.0054684238275513,0.0006201304517369,0.0048482933758143,0.0060885542792882,0.1134020462372603,0.34681872,0.3875040709972381,0.0261337222428047,0.3613703487544334,0.4136377932400428,0.0674411553291551,83.53504,83.62253227233887,0.7110511052811741,82.9114811670577,84.33358337762004,0.0085031041988234,0.0631154352550796,False,predicted,,True,True,False,0.7455529007110453
9,mean_acc_energy_pareto,C031576,2736740861221664657,6,increasing,early,0.05,5,1-2-3-4-5,30,145,30-81-103-122-135-145,537342,4,30-81-103-122-135-145|1-2-3-4-5,6,537342,increasing,early,30.0,1.0,81.0,1.0,103.0,1.0,122.0,1.0,135.0,1.0,145.0,0.0,30.0,145.0,102.66666666666669,38.64654648937672,616.0,115.0,30.0,145.0,4.833333333333333,5.0,13812327.0,27624654.0,60685.0,1.0,1.0,,,,0.00513031,0.0051797994412481,0.0005342558322187,0.0046455436090294,0.0057140552734669,0.1031421849974204,0.3480549,0.3726401448249817,0.0217310892209038,0.3509090556040778,0.3943712340458855,0.0583165542486312,84.18954,83.5561019897461,0.9195990451972662,82.63650294454882,84.47570103494337,0.0110057676614703,0.057488168969174,False,predicted,,True,True,False,0.7661893511865524
10,mean_acc_energy_pareto,C000964,7385817894659486892,6,increasing,linear,0.05,5,1-2-3-4-5,40,149,40-65-81-104-129-149,443482,4,40-65-81-104-129-149|1-2-3-4-5,6,443482,increasing,linear,40.0,1.0,65.0,1.0,81.0,1.0,104.0,1.0,129.0,1.0,149.0,0.0,40.0,149.0,94.66666666666669,37.133393177689655,568.0,109.0,40.0,149.0,3.725,5.0,11997981.0,23995962.0,65113.0,1.0,1.0,,,,0.004707671,0.0047832536278292,0.0004905211299415,0.0042927324978877,0.0052737747577707,0.1025496802192606,0.33387646,0.3368356227874756,0.0222746542405681,0.3145609685469074,0.3591102770280437,0.0661291524222847,84.18285,83.41771354675294,0.9360761743879628,82.48163737236497,84.3537897211409,0.0112215515696593,0.0599667947370682,False,predicted,,True,True,False,0.7938919183221347
