selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_lower_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_lower_ms,latency_upper_ms,latency_relative_uncertainty,predicted_accuracy_percent,ensemble_accuracy_mean_percent,accuracy_uncertainty_std_percent,accuracy_lower_percent,accuracy_upper_percent,accuracy_relative_uncertainty,combined_relative_uncertainty,is_measured_candidate,pareto_value_source,measured_model_id,distance_to_new_measurement,ensemble_second_weight,ensemble_first_weight,ensemble_method,first_ensemble_accuracy_mean_percent,second_ensemble_accuracy_mean_percent,first_ensemble_energy_mean_j,second_ensemble_energy_mean_j,first_ensemble_latency_mean_ms,second_ensemble_latency_mean_ms,is_mean_accuracy_energy_pareto,is_mean_accuracy_latency_pareto,is_mean_capacity_energy_pareto,accuracy_energy_score
1,mean_acc_energy_pareto,C025075,3937339543124512462,6,increasing,early,0.1,5,1-2-3-4-5,49,203,49-116-160-183-198-203,1173840,5,49-116-160-183-198-203|1-2-3-4-5,6,1173840,increasing,early,49.0,1.0,116.0,1.0,160.0,1.0,183.0,1.0,198.0,1.0,203.0,0.0,49.0,203.0,151.5,54.23021912796099,909.0,154.0,49.0,203.0,4.142857142857143,5.0,31023738.0,62047476.0,94035.0,1.0,1.0,,,,0.0112744268971935,0.0106513372287413,0.0005968036702701,0.0100545335584712,0.0112481408990115,0.0560308679984067,0.829724819484554,0.7381161681886618,0.0330006915379626,0.7051154766506991,0.7711168597266245,0.0447093465232531,85.03979772091957,85.0073378003374,0.3178785644115559,84.68945923592584,85.32521636474895,0.0037394250030294,0.0348265465082297,False,predicted,,0.0249764168720917,0.8228812434654734,0.1771187565345265,distance_weighted_round1_round2,84.96219177246094,85.01705513000488,0.0088470420800149,0.0110396976582705,0.7554740965366363,0.7343800097703934,True,False,False,0.33568598515126413
2,mean_acc_energy_pareto,C022649,4173618203625977264,5,increasing,linear,0.05,4,1-2-3-4,71,193,71-106-126-157-193,643195,5,71-106-126-157-193|1-2-3-4,5,643195,increasing,linear,71.0,1.0,106.0,1.0,126.0,1.0,157.0,1.0,193.0,0.0,,0.0,71.0,193.0,130.6,41.87887295522648,653.0,122.0,71.0,193.0,2.718309859154929,4.0,30935412.0,61870824.0,111188.0,2.0,2.0,,,,0.0095191517164562,0.0093118130197303,0.0004852156855235,0.0088265973342067,0.0097970287052539,0.0521075417317226,0.8361230723006814,0.7685939565969262,0.0417107855837255,0.7268831710132007,0.8103047421806517,0.0542689481561978,85.37521355326531,84.96136323478267,0.3324219715637381,84.62894126321893,85.2937852063464,0.0039126252087683,0.0367630383655629,False,predicted,,0.0197423620819987,0.8284608329524387,0.1715391670475613,distance_weighted_round1_round2,84.7327865600586,85.00869178771973,0.0086225062143057,0.0094545392785221,0.7963328033685684,0.7628504157066345,True,False,False,0.4353165536584114
3,mean_acc_energy_pareto,C009107,6451417659926216965,5,increasing,linear,0.1,4,1-2-3-4,53,208,53-99-131-155-208,641016,5,53-99-131-155-208|1-2-3-4,5,641016,increasing,linear,53.0,1.0,99.0,1.0,131.0,1.0,155.0,1.0,208.0,0.0,,0.0,53.0,208.0,129.2,52.14748316074324,646.0,155.0,53.0,208.0,3.924528301886793,4.0,25109136.0,50218272.0,91312.0,2.0,2.0,,,,0.0075968480648983,0.0067592414408218,0.0006624907968022,0.0060967506440195,0.0074217322376241,0.098012595437298,0.5995746862607138,0.569997927474755,0.0351995629823042,0.5347983644924507,0.6051974904570593,0.0617538438047447,85.62307863224534,84.8645001682287,0.3395874809626806,84.52491268726602,85.20408764919138,0.0040015257297163,0.054589321657253,False,predicted,,0.0190270544157072,0.829227571867148,0.1707724281328519,distance_weighted_round1_round2,84.72015686035157,84.89422645568848,0.006000471371226,0.0069155037403106,0.5887462943792343,0.566136859357357,True,True,False,0.6250473230203721
4,mean_acc_energy_pareto,C030299,234504714391979806,5,increasing,linear,0.0,5,1-2-3-4-5,58,173,58-87-116-144-173,514670,4,58-87-116-144-173|1-2-3-4-5,5,514670,increasing,linear,58.0,1.0,87.0,1.0,116.0,1.0,144.0,1.0,173.0,1.0,,0.0,58.0,173.0,115.6,40.588668369386056,578.0,115.0,58.0,173.0,2.9827586206896552,5.0,22344768.0,44689536.0,92084.0,1.0,1.0,,,,0.007109396999057,0.0063051958864606,0.0005336559529009,0.0057715399335596,0.0068388518393616,0.0846374898592652,0.5559308892518061,0.5434753002831155,0.0250860191754153,0.5183892811077001,0.568561319458531,0.0461585267303724,85.39189942155008,84.70706214888914,0.39517678374757,84.31188536514156,85.10223893263671,0.0046652164969783,0.0451537443622053,False,predicted,,0.2252606708850224,0.6453585126435593,0.3546414873564407,distance_weighted_round1_round2,84.68813743591309,84.7174617767334,0.0059793840628117,0.0064842380583286,0.5573784947395325,0.5358351290225982,True,False,False,0.6569278292558176
5,mean_acc_energy_pareto,C011474,8192051892467157115,6,increasing,linear,0.05,5,1-2-3-4-5,59,138,59-78-92-102-122-138,457552,4,59-78-92-102-122-138|1-2-3-4-5,6,457552,increasing,linear,59.0,1.0,78.0,1.0,92.0,1.0,102.0,1.0,122.0,1.0,138.0,0.0,59.0,138.0,98.5,26.29163365026981,591.0,79.0,59.0,138.0,2.3389830508474576,5.0,18318420.0,36636840.0,88530.0,1.0,1.0,,,,0.0066244310741793,0.0060168141210781,0.0005660463365718,0.0054507677845063,0.0065828604576499,0.0940774179127223,0.4610462981665616,0.4818371105276073,0.0249119449618272,0.45692516556578,0.5067490554894346,0.0517020055482005,85.3154965144439,84.4151141547498,0.4044620835778677,84.01065207117193,84.81957623832767,0.0047913467585485,0.0501902567398238,False,predicted,,0.0995058530500416,0.7490294808577751,0.2509705191422249,distance_weighted_round1_round2,84.6651725769043,84.33132934570312,0.00572922215797,0.0061131749534979,0.4864795044064521,0.480281625688076,True,True,False,0.6746184633038615
6,mean_acc_energy_pareto,C024551,2994338424430129071,5,increasing,late,0.1,5,1-2-3-4-5,57,198,57-62-95-145-198,471267,4,57-62-95-145-198|1-2-3-4-5,5,471267,increasing,late,57.0,1.0,62.0,1.0,95.0,1.0,145.0,1.0,198.0,1.0,,0.0,57.0,198.0,111.4,53.47373186902145,557.0,141.0,57.0,198.0,3.473684210526316,5.0,16128072.0,32256144.0,83432.0,1.0,1.0,,,,0.0062223828202216,0.005292032424487,0.0005460189424651,0.0047460134820219,0.0058380513669522,0.1031775504508638,0.4402311289766933,0.4297622032852645,0.0264108253301682,0.4033513779550962,0.4561730286154327,0.0614545093269579,85.51001284485594,84.15078724498346,0.7124234973942205,83.43836374758924,84.86321074237769,0.008466034849088,0.0576993648756365,False,predicted,,0.2246011577820783,0.6458416523707327,0.3541583476292673,distance_weighted_round1_round2,84.67809410095215,83.86162948608398,0.0048852775478735,0.0055150834377855,0.4179979816079139,0.4362133160233498,True,True,False,0.7253351275625811
7,mean_acc_energy_pareto,C006146,7799234013770279104,5,increasing,late,0.05,5,1-2-3-4-5,41,242,41-55-91-149-242,516008,4,41-55-91-149-242|1-2-3-4-5,5,516008,increasing,late,41.0,1.0,55.0,1.0,91.0,1.0,149.0,1.0,242.0,1.0,,0.0,41.0,242.0,115.6,73.39645768019052,578.0,201.0,41.0,242.0,5.902439024390244,5.0,12462552.0,24925104.0,65240.0,1.0,1.0,,,,0.0048521077787939,0.0047677317729748,0.000420674465246,0.0043470573077287,0.0051884062382208,0.0882336686032933,0.3480042587868966,0.3815701466288457,0.0224365588918409,0.3591335877370047,0.4040067055206867,0.0588006139632959,85.26301226866191,83.92884099043557,0.5297502063113404,83.39909078412424,84.45859119674691,0.0063118970792377,0.0511153932152756,False,predicted,,0.223615682806715,0.6465646825498506,0.3534353174501494,distance_weighted_round1_round2,84.69979705810547,83.5074089050293,0.0042163259000517,0.0050691498909145,0.3666509270668029,0.389725524187088,True,False,False,0.7616135553112868
8,mean_acc_energy_pareto,C000306,5738001802370695308,5,increasing,linear,0.0,5,1-2-3-4-5,18,210,18-66-114-162-210,553966,4,18-66-114-162-210|1-2-3-4-5,5,553966,increasing,linear,18.0,1.0,66.0,1.0,114.0,1.0,162.0,1.0,210.0,1.0,,0.0,18.0,210.0,114.0,67.88225099390856,570.0,192.0,18.0,210.0,11.666666666666666,5.0,11452752.0,22905504.0,46056.0,1.0,1.0,,,,0.0046051133227996,0.0043728003820438,0.0004328548451071,0.0039399455369367,0.0048056552271509,0.0989880184983024,0.3228186143573167,0.3433847640727265,0.0240436186115904,0.3193411454611361,0.367428382684317,0.0700194683259103,84.41390320964888,83.62219927067085,0.6560943624245801,82.96610490824627,84.27829363309543,0.00784593526775,0.0589511406973209,False,predicted,,0.2239146404576726,0.6463452017676736,0.3536547982323264,distance_weighted_round1_round2,84.45338592529296,83.16740646362305,0.0035923897637985,0.0047998105292208,0.3334937930107117,0.3487967163324356,True,False,False,0.7870820203913935
9,mean_acc_energy_pareto,C019751,4370878504220914589,6,increasing,late,0.0,4,1-2-3-4,26,244,26-35-61-104-166-244,608201,5,26-35-61-104-166-244|1-2-3-4,6,608201,increasing,late,26.0,1.0,35.0,1.0,61.0,1.0,104.0,1.0,166.0,0.0,244.0,0.0,26.0,244.0,106.0,77.58221445666526,636.0,218.0,26.0,244.0,9.384615384615383,4.0,7038432.0,14076864.0,42792.0,2.0,2.0,,,,0.0035960183247414,0.0036568043685667,0.0002973649672031,0.0033594394013635,0.0039541693357698,0.0813182596693553,0.2568718218424779,0.273770394583366,0.0128164352418343,0.2609539593415316,0.2865868298252004,0.0468145405617685,84.08889985091817,83.03777673108667,0.8730282417892984,82.16474848929737,83.91080497287597,0.0105136273652479,0.0462154758654572,False,predicted,,0.2241412321585493,0.6461789296247489,0.3538210703752511,distance_weighted_round1_round2,84.10678253173828,82.45243301391602,0.0030454662046395,0.0039915480650961,0.2582807525992393,0.2822518870234489,True,True,False,0.8328757258936148
10,mean_acc_energy_pareto,C021151,2169515437197122233,6,increasing,linear,0.05,4,1-2-3-4,9,195,9-47-80-115-162-195,575238,4,9-47-80-115-162-195|1-2-3-4,6,575238,increasing,linear,9.0,1.0,47.0,1.0,80.0,1.0,115.0,1.0,162.0,0.0,195.0,0.0,9.0,195.0,101.33333333333331,63.99652768358261,608.0,186.0,9.0,195.0,21.666666666666668,4.0,6521904.0,13043808.0,29636.0,2.0,2.0,,,,0.0031772157188967,0.0030655652827155,0.0003597319009501,0.0027058333817653,0.0034252971836656,0.1173460252105481,0.1972836587076494,0.2054589038185209,0.0176956254688633,0.1877632783496575,0.2231545292873842,0.0861273234694838,83.93340945415903,82.61432232260537,0.7763375391287535,81.83798478347663,83.39065986173412,0.0093971301501111,0.0709568262767143,False,predicted,,0.1813801025548121,0.6788258167661689,0.321174183233831,distance_weighted_round1_round2,84.33405418395996,81.80066223144532,0.0021851833793334,0.0034821020904928,0.1937890380620956,0.2109802901744842,True,True,True,0.8714782597713089
