Model_Mode,Layer_Index,Layer_Type,Loop_Count,Duration_Sec,Energy_Consumed_kWh
deep_narrow,-1,FULL_MODEL,2000,7.082563161849976,2.86919160562446e-05
deep_narrow,0,Conv2d,10000,1.478294849395752,8.457969204135728e-06
deep_narrow,1,ReLU,10000,0.502342939376831,4.808880444411948e-06
deep_narrow,2,Conv2d,10000,7.326199769973755,3.0137920395577088e-05
deep_narrow,3,ReLU,10000,0.5015199184417725,4.804715388880949e-06
deep_narrow,4,MaxPool2d,10000,2.020277261734009,1.0137890040597536e-05
deep_narrow,5,Conv2d,10000,3.5405004024505615,1.6141726317727472e-05
deep_narrow,6,ReLU,10000,0.335782527923584,4.2751639490800045e-06
deep_narrow,7,Conv2d,10000,7.67230486869812,3.132689853114092e-05
deep_narrow,8,ReLU,10000,0.3352963924407959,4.272572030738455e-06
deep_narrow,9,MaxPool2d,10000,1.179894208908081,7.053803782544663e-06
deep_narrow,10,Conv2d,10000,3.6382968425750732,1.6514739664630832e-05
deep_narrow,11,ReLU,10000,0.20638799667358398,3.861192305537568e-06
deep_narrow,12,MaxPool2d,10000,0.5435385704040527,4.948659717846496e-06
deep_narrow,13,Flatten,10000,0.09707760810852051,3.512034291690927e-06
deep_narrow,14,Linear,10000,0.3624260425567627,4.3650510963940156e-06
funnel_wide_to_narrow,-1,FULL_MODEL,2000,9.481221675872803,3.791380489663074e-05
funnel_wide_to_narrow,0,Conv2d,10000,3.8697187900543213,1.728414253631468e-05
funnel_wide_to_narrow,1,ReLU,10000,1.1754610538482666,7.03604852606167e-06
funnel_wide_to_narrow,2,MaxPool2d,10000,10.793611764907837,4.298871956327071e-05
funnel_wide_to_narrow,3,Conv2d,10000,22.50018572807312,8.48442402018129e-05
funnel_wide_to_narrow,4,ReLU,10000,0.403214693069458,4.490366013892021e-06
funnel_wide_to_narrow,5,MaxPool2d,10000,1.263314962387085,7.440208072116536e-06
funnel_wide_to_narrow,6,Conv2d,10000,2.4681050777435303,1.2112874788241633e-05
funnel_wide_to_narrow,7,ReLU,10000,0.1481330394744873,3.674859790176088e-06
funnel_wide_to_narrow,8,MaxPool2d,10000,0.357633113861084,4.3485004409012065e-06
funnel_wide_to_narrow,9,Flatten,10000,0.096343994140625,3.5103208749872772e-06
funnel_wide_to_narrow,10,Linear,10000,0.34102559089660645,4.295204547733272e-06
hourglass,-1,FULL_MODEL,2000,8.522448778152466,3.452723411889321e-05
hourglass,0,Conv2d,10000,4.423022747039795,1.9283449316253452e-05
hourglass,1,ReLU,10000,1.2505431175231934,7.353242824873677e-06
hourglass,2,MaxPool2d,10000,11.855045557022095,4.6626052467399854e-05
hourglass,3,Conv2d,10000,14.594388246536255,5.88242314258247e-05
hourglass,4,ReLU,10000,0.2308051586151123,3.9395843333436965e-06
hourglass,5,MaxPool2d,10000,0.63775634765625,5.24482726416196e-06
hourglass,6,Conv2d,10000,3.1854453086853027,1.4473974578464061e-05
hourglass,7,ReLU,10000,0.28376293182373047,4.110824433191874e-06
hourglass,8,MaxPool2d,10000,0.8130414485931396,5.8065221285588664e-06
hourglass,9,Flatten,10000,0.09607148170471191,3.5099898194534437e-06
hourglass,10,Linear,10000,0.4156484603881836,4.540230464176484e-06
mid_balanced,-1,FULL_MODEL,2000,4.551022291183472,1.986666946299577e-05
mid_balanced,0,Conv2d,10000,1.8972251415252686,9.967153594805688e-06
mid_balanced,1,ReLU,10000,0.5287165641784668,4.895982006746717e-06
mid_balanced,2,MaxPool2d,10000,3.5891826152801514,1.6366341373028985e-05
mid_balanced,3,Conv2d,10000,6.886495113372803,2.915393153616598e-05
mid_balanced,4,ReLU,10000,0.4188833236694336,4.541441066394634e-06
mid_balanced,5,MaxPool2d,10000,1.3638079166412354,7.89828345096168e-06
mid_balanced,6,Conv2d,10000,4.844092845916748,2.098492693163849e-05
mid_balanced,7,ReLU,10000,0.21955609321594238,3.9031275972148355e-06
mid_balanced,8,MaxPool2d,10000,0.6133937835693359,5.167605105201136e-06
mid_balanced,9,Flatten,10000,0.099456787109375,3.5203212916854278e-06
mid_balanced,10,Linear,10000,0.3614387512207031,4.362713385398352e-06
shallow_wide,-1,FULL_MODEL,2000,4.617822170257568,2.006570755402115e-05
shallow_wide,0,Conv2d,10000,3.2512872219085693,1.4734335162066088e-05
shallow_wide,1,ReLU,10000,1.0173654556274414,6.45818257089145e-06
shallow_wide,2,MaxPool2d,10000,8.56840968132019,3.456576408093242e-05
shallow_wide,3,Conv2d,10000,6.468132495880127,2.6827177142870934e-05
shallow_wide,4,ReLU,10000,0.21809172630310059,3.898915583336526e-06
shallow_wide,5,MaxPool2d,10000,0.5596575736999512,4.99946858449522e-06
shallow_wide,6,Flatten,10000,0.1009981632232666,3.5257612619263548e-06
shallow_wide,7,Linear,10000,0.37421464920043945,4.403567247459294e-06
uniform,-1,FULL_MODEL,2000,6.2442827224731445,2.5762091111751504e-05
uniform,0,Conv2d,10000,2.6780202388763428,1.2912670997620522e-05
uniform,1,ReLU,10000,0.7274715900421143,5.536690293016108e-06
uniform,2,MaxPool2d,10000,6.51648736000061,2.711788353417331e-05
uniform,3,Conv2d,10000,11.63053011894226,4.583759723050119e-05
uniform,4,ReLU,10000,0.4109838008880615,4.5140315694293855e-06
uniform,5,MaxPool2d,10000,1.298276424407959,7.5995846713765816e-06
uniform,6,Conv2d,10000,3.8400771617889404,1.7192482055448155e-05
uniform,7,ReLU,10000,0.1948704719543457,3.824905108445007e-06
uniform,8,MaxPool2d,10000,0.4665086269378662,4.698975501919107e-06
uniform,9,Flatten,10000,0.09981775283813477,3.5197963277530043e-06
uniform,10,Linear,10000,0.3630638122558594,4.369343893493641e-06
